المرحلة,القسم,النطاق,الملفات الأساسية,ملفات المزامنة,الحالة,عدد التعديلات,مجلد التقرير
132,ساحات القتال,وادي تييرا الثاني — مراجعة مستقلة وتثبيت النصوص,rathena-master/npc/battleground/tierra/tierra02.txt,تحقق دون تعديل: tierra01.txt وtierra_enter.txt وbg_common.txt وسجل المهام وقاعدة العناصر والملاحة,مكتمل,0,المرحلة_132
133,ساحات القتال,مدخل وادي تييرا: التسجيل وشرح المستودعات وراية الحياد,rathena-master/npc/battleground/tierra/tierra_enter.txt,تحقق دون تعديل: tierra01.txt وtierra02.txt وflavius_enter.txt وbg_common.txt وسجل المهام والملاحة,مكتمل,16,المرحلة_133
134,حرب الإمبريوم,متحكم بدء حرب الإمبريوم وعرض مالكي القلاع,rathena-master/npc/guild/agit_controller.txt,تحقق دون تعديل: agit_main.txt ومرجع rAthena الرسمي ووثائق أوامر حرب الإمبريوم,مكتمل,2,المرحلة_134
135,حرب الإمبريوم,إدارة القلاع والحراس وكافرا والاستثمارات وغرفة الكنوز,rathena-master/npc/guild/agit_main.txt,تحقق دون تعديل: ملفات القلاع وagit_main_se.txt وملفات المهارات والملاحة والمرجع الرسمي,مكتمل,126,المرحلة_135
136,حرب الإمبريوم,قلعة نويشفانشتاين: مرسوم الملكية وراية النقابة ومخرج غرفة الكنوز,rathena-master/npc/guild/aldeg_cas01.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub؛ تحقق دون تعديل: agit_main.txt وملفات الملاحة والخريطة وبقية قلاع ألديباران والمرجع الرسمي,مكتمل,12,المرحلة_136
137,حرب الإمبريوم,قلعة هوهنشفانغاو: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/aldeg_cas02.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وNavi_Data_EN.lub وبقية قلاع ألديباران والمرجع الرسمي,مكتمل,15,المرحلة_137
138,حرب الإمبريوم,قلعة نورمبرغ: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/aldeg_cas03.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub وdata/luafiles514/lua files/agit/agitconfig.lub؛ تحقق دون تعديل: agit_main.txt وNavi_Data_EN.lub وبقية قلاع ألديباران والمرجع الرسمي,مكتمل,38,المرحلة_138
139,حرب الإمبريوم,قلعة فورتسبورغ: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/aldeg_cas04.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub؛ تحقق دون تعديل: agit_main.txt وmapInfo_true_EN.lub وnavi_map_krpri.lub وagitconfig.lub وبقية قلاع ألديباران والمرجع الرسمي,مكتمل,12,المرحلة_139
140,حرب الإمبريوم,قلعة روتنبورغ: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/aldeg_cas05.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub؛ تحقق دون تعديل: agit_main.txt وmapInfo_true_EN.lub وnavi_map_krpri.lub وagitconfig.lub وNavi_Data_EN.lub وبقية قلاع ألديباران والمرجع الرسمي,مكتمل,12,المرحلة_140
141,حرب الإمبريوم,قلعة ريفيريون: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/gefg_cas01.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub؛ تحقق دون تعديل: agit_main.txt وmapInfo_true_EN.lub وnavi_map_krpri.lub وagitconfig.lub وNavi_Data_EN.lub وبقية قلاع غيفن والمرجع الرسمي,مكتمل,12,المرحلة_141
142,حرب الإمبريوم,قلعة إيوربريغار: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/gefg_cas02.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وdata/luafiles514/lua files/agit/agitconfig.lub؛ تحقق دون تعديل: agit_main.txt وmapInfo_true_EN.lub وnavi_map_krpri.lub وNavi_Data_EN.lub وبقية قلاع غيفن والمرجع الرسمي,مكتمل,13,المرحلة_142
143,حرب الإمبريوم,قلعة يسنلف: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/gefg_cas03.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وNavi_Data_EN.lub وبقية قلاع غيفن والمرجع الرسمي,مكتمل,15,المرحلة_143
144,حرب الإمبريوم,قلعة بيرغل: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/gefg_cas04.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub؛ تحقق دون تعديل: agit_main.txt وmapInfo_true_EN.lub وnavi_map_krpri.lub وagitconfig.lub وNavi_Data_EN.lub وبقية قلاع غيفن والمرجع الرسمي,مكتمل,12,المرحلة_144
145,حرب الإمبريوم,قلعة ميرسيتزدايتز: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/gefg_cas05.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub؛ تحقق دون تعديل: agit_main.txt وmapInfo_true_EN.lub وnavi_map_krpri.lub وagitconfig.lub وبقية قلاع غيفن والمرجع الرسمي,مكتمل,12,المرحلة_145
146,حرب الإمبريوم,قلعة البستان المشرق: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/payg_cas01.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع بايون والمرجع الرسمي,مكتمل,15,المرحلة_146
147,حرب الإمبريوم,قلعة القصر القرمزي: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/payg_cas02.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع بايون والمرجع الرسمي,مكتمل,15,المرحلة_147
148,حرب الإمبريوم,قلعة الظل المقدس: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/payg_cas03.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع بايون والمرجع الرسمي,مكتمل,15,المرحلة_148
149,حرب الإمبريوم,قلعة المذبح المقدس: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/payg_cas04.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع بايون والمرجع الرسمي,مكتمل,15,المرحلة_149
150,حرب الإمبريوم,قلعة تل بستان الخيزران: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/payg_cas05.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع بايون والمرجع الرسمي,مكتمل,14,المرحلة_150
151,حرب الإمبريوم,قلعة كريمهيلد: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/prtg_cas01.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع برونتيرا والمرجع الرسمي,مكتمل,15,المرحلة_151
152,حرب الإمبريوم,قلعة سوانهيلد: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/prtg_cas02.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع برونتيرا والمرجع الرسمي,مكتمل,15,المرحلة_152
153,حرب الإمبريوم,قلعة فادغريد: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/prtg_cas03.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع برونتيرا والمرجع الرسمي,مكتمل,15,المرحلة_153
154,حرب الإمبريوم,قلعة سكويغول: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/prtg_cas04.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع برونتيرا والمرجع الرسمي,مكتمل,15,المرحلة_154
155,حرب الإمبريوم,قلعة غوندول: مرسوم الملكية ورايات النقابة وموظفة كافرا ومخرج غرفة الكنوز,rathena-master/npc/guild/prtg_cas05.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main.txt وagitconfig.lub وبقية قلاع برونتيرا والمرجع الرسمي,مكتمل,15,المرحلة_155
156,حرب الإمبريوم,حماية غرف الكنوز وقصر دخولها على قادة النقابات,rathena-master/npc/guild/trs_rp.txt,تحقق دون تعديل: المرجع الإنجليزي والسكربت الرسمي وجميع حواجز duplicate() والخرائط والإحداثيات,مكتمل,0,المرحلة_156
157,حرب الإمبريوم الثانية,القالب المركزي لإدارة القلاع والدفاعات والإصلاح والخدمات,rathena-master/npc/guild2/agit_main_se.txt,تحقق دون تعديل للمرجع الإنجليزي والرسمي وملفات القلاع وقواعد العناصر والوحوش والملاحة,مكتمل,363,المرحلة_157
158,حرب الإمبريوم الثانية,التشغيل التلقائي لحرب الإمبريوم الثانية وجدول البدء والانتهاء,rathena-master/npc/guild2/agit_start_se.txt,تحقق دون تعديل: المرجع الإنجليزي والسكربت الرسمي وجدول الأيام والساعات وأحداث AgitStart2 وAgitEnd2,مكتمل,0,المرحلة_158
159,حرب الإمبريوم الثانية,قلعة ماردول: توحيد المشرف وأعلام الانتقال واسم القلعة,rathena-master/npc/guild2/arug_cas01.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main_se.txt وagitconfig.lub وNavi_Data_EN.lub والمرجع الرسمي,مكتمل,6,المرحلة_159
160,حرب الإمبريوم الثانية,قلعة سير: توحيد المشرف وأعلام الربط والعودة واسم القلعة,rathena-master/npc/guild2/arug_cas02.txt,تعديل rathena-master/npc/guild2/guild_flags.txt وdata/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main_se.txt وagitconfig.lub وNavi_Data_EN.lub والمرجع الرسمي,مكتمل,9,المرحلة_160
161,حرب الإمبريوم الثانية,قلعة هورن: توحيد المشرف وعلم الربط واسم القلعة,rathena-master/npc/guild2/arug_cas03.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: guild_flags.txt وagit_main_se.txt وagitconfig.lub وNavi_Data_EN.lub والمرجع الرسمي,مكتمل,6,المرحلة_161
162,حرب الإمبريوم الثانية,قلعة غيفن: توحيد المشرف وأعلام الربط والعودة واسم القلعة,rathena-master/npc/guild2/arug_cas04.txt,تعديل rathena-master/npc/guild2/guild_flags.txt وdata/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: agit_main_se.txt وagitconfig.lub والمرجع الرسمي,مكتمل,10,المرحلة_162
163,حرب الإمبريوم الثانية,قلعة باناديس: توحيد المشرف وأعلام الربط والعودة واسم القلعة,rathena-master/npc/guild2/arug_cas05.txt,تعديل rathena-master/npc/guild2/guild_flags.txt وdata/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub وdata/luafiles514/lua files/agit/agitconfig.lub؛ تحقق دون تعديل: agit_main_se.txt والمرجع الرسمي,مكتمل,11,المرحلة_163
164,حرب الإمبريوم الثانية,أعلام قلاع يونو وراشيل: تعريب فيدبلاين والتحقق من الأسماء الداخلية,rathena-master/npc/guild2/guild_flags.txt,تعديل data/luafiles514/lua files/agit/agitconfig.lub؛ تحقق دون تعديل: Navi_Data_EN.lub وmapInfo_true_EN.lub وnavi_map_krpri.lub والمرجع الرسمي,مكتمل,2,المرحلة_164
165,حرب الإمبريوم الثانية,قلعة هيمين: توحيد المشرف وعلم الربط واسم القلعة,rathena-master/npc/guild2/schg_cas01.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: guild_flags.txt وagit_main_se.txt وagitconfig.lub وNavi_Data_EN.lub والمرجع الرسمي,مكتمل,6,المرحلة_165
166,حرب الإمبريوم الثانية,قلعة أندلانغر: توحيد المشرف وعلم الربط واسم القلعة,rathena-master/npc/guild2/schg_cas02.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: guild_flags.txt وagit_main_se.txt وagitconfig.lub وNavi_Data_EN.lub والمرجع الرسمي,مكتمل,6,المرحلة_166
167,حرب الإمبريوم الثانية,قلعة فيدبلاين: توحيد المشرف وأعلام الربط والعودة واسم القلعة,rathena-master/npc/guild2/schg_cas03.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: guild_flags.txt وagit_main_se.txt وagitconfig.lub وNavi_Data_EN.lub والمرجع الرسمي,مكتمل,7,المرحلة_167
168,حرب الإمبريوم الثانية,قلعة هليود: توحيد المشرف وعلم الربط واسم القلعة,rathena-master/npc/guild2/schg_cas04.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: guild_flags.txt وagit_main_se.txt وagitconfig.lub وNavi_Data_EN.lub والمرجع الرسمي,مكتمل,6,المرحلة_168
169,حرب الإمبريوم الثانية,قلعة سكيدبلادنير: توحيد المشرف وعلم الربط واسم القلعة,rathena-master/npc/guild2/schg_cas05.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub وSystem/mapInfo_true_EN.lub وdata/luafiles514/lua files/navigation/navi_map_krpri.lub؛ تحقق دون تعديل: guild_flags.txt وagit_main_se.txt وagitconfig.lub وNavi_Data_EN.lub والمرجع الرسمي,مكتمل,6,المرحلة_169
170,الزنزانات,البرج اللانهائي: حوار القبطان، إنشاء الزنزانة، الطوابق 1-102، الزعماء والأرواح التائهة,rathena-master/npc/instances/EndlessTower.txt,تعديل System/OngoingQuestInfoList_True_EN.lub؛ تحقق دون تعديل: System/LuaFiles514/itemInfo.lua وSystem/Navi_Data_EN.lub وملفات الملاحة ومعلومات الخريطة وقاعدة الوحوش والمرجع الرسمي,مكتمل,154,المرحلة_170
171,الزنزانات,عش نيدهوغر: سلسلة الوصول، قبيلتا لافين وسافا، الحارس، الزنزانة ومواجهة الظل,rathena-master/npc/instances/NydhoggsNest.txt,تعديل data/luafiles514/lua files/navigation/navi_npc_krpri.lub؛ تحقق دون تعديل: OngoingQuestInfoList_True_EN.lub وitemInfo.lua وNavi_Data_EN.lub وmapInfo_true_EN.lub وnavi_map_krpri.lub وقاعدتا الوحوش والمرجع الرسمي,مكتمل,470,المرحلة_171
172,الزنزانات,ذاكرة الأورك: الدخول، العالم المجنون، التسلل، المشاعل، شامان كارغال وخاتمة كروغر,rathena-master/npc/instances/OrcsMemory.txt,تعديل System/OngoingQuestInfoList_True_EN.lub وrathena-master/db/pre-re/mob_db.yml؛ تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وملفات الملاحة والخريطة والمرجع الرسمي,مكتمل,96,المرحلة_172
173,الزنزانات,الضريح المختوم: الراهب باتريك، راست بلاك هاند، الطابقان، الأختام وبافوميت غير المختوم,rathena-master/npc/instances/SealedShrine.txt,تعديل System/OngoingQuestInfoList_True_EN.lub وSystem/LuaFiles514/itemInfo.lua؛ تحقق دون تعديل: الملاحة والخريطة وقاعدة الوحوش والمرجع الرسمي,مكتمل,171,المرحلة_173
174,الوظائف,مهمة تغيير الوظيفة إلى رامي المسدسات: المعلم ميلر وقرن الثور الحكيم وقسيمة الاعتماد,rathena-master/npc/jobs/1-1e/gunslinger.txt,تعديل System/OngoingQuestInfoList_True_EN.lub؛ تحقق دون تعديل: System/LuaFiles514/itemInfo.lua وSystem/Navi_Data_EN.lub وdata/luafiles514/lua files/navigation/navi_npc_krpri.lub والمرجع الرسمي,مكتمل,194,المرحلة_174
175,الوظائف,مهمة تغيير الوظيفة إلى نينجا: أكاغي وكوغا غاي وريد ليوبارد جو وجمع المواد,rathena-master/npc/jobs/1-1e/ninja.txt,تعديل System/OngoingQuestInfoList_True_EN.lub؛ تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وmapInfo وملفات الملاحة والمرجع الرسمي,مكتمل,269,المرحلة_175
176,الوظائف,مهمة تغيير الوظيفة إلى تايكون: فينيكس، اختبار الجسد والإرادة والتعهد النهائي,rathena-master/npc/jobs/1-1e/taekwon.txt,تعديل System/OngoingQuestInfoList_True_EN.lub؛ تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وnavi_npc_krpri.lub والمرجع الرسمي,مكتمل,238,المرحلة_176
177,الوظائف,مهمة تغيير الوظيفة إلى مغتال: التسجيل، الاختبار الكتابي، الأهداف، الاختباء، المتاهة وسيد النقابة,rathena-master/npc/jobs/2-1/assassin.txt,تعديل System/OngoingQuestInfoList_True_EN.lub؛ تحقق دون تعديل: itemInfo.lua وskillinfolist.lub والملاحة وقاعدة الوحوش والمرجع الرسمي,مكتمل,328,المرحلة_177
178,الوظائف,مهمة تغيير الوظيفة إلى حداد: ألتيريجن وغيشوبنشت والتصنيع والتسليم واختبار ميتهايميوه,rathena-master/npc/jobs/2-1/blacksmith.txt,تعديل System/OngoingQuestInfoList_True_EN.lub؛ تحقق دون تعديل: itemInfo.lua وskillinfolist.lub والملاحة وقاعدة الوحوش والمرجع الرسمي,مكتمل,373,المرحلة_178
179,الوظائف,مهمة تغيير الوظيفة إلى صياد: شيرين، اختبار الشخصية، المواد، اختبار الصيد والفخاخ,rathena-master/npc/jobs/2-1/hunter.txt,تعديل سجل المهمات وملفي الملاحة؛ تحقق دون تعديل: itemInfo وقاعدة الوحوش والمرجع الرسمي,مكتمل,260,المرحلة_179
180,الوظائف,مهمة تغيير الوظيفة إلى فارس: الفرسان الستة واختبارات الولاء والمعرفة والقتال والآداب والصبر,rathena-master/npc/jobs/2-1/knight.txt,تعديل System/OngoingQuestInfoList_True_EN.lub؛ تحقق دون تعديل: itemInfo والمهارات والملاحة وقاعدة الوحوش والمرجع الرسمي,مكتمل,660,المرحلة_180
181,الوظائف,مهمة تغيير الوظيفة إلى كاهن: الحج والتدريب الروحي والإغراء وقسم الكهنوت,rathena-master/npc/jobs/2-1/priest.txt,تعديل سجل المهمات وitemInfo؛ تحقق دون تعديل: الملاحة وقاعدة الوحوش والمرجع الرسمي,مكتمل,302,المرحلة_181
182,الوظائف,مهمة تغيير الوظيفة إلى ساحر عظيم: كاثرين وراوليل والاختبار الكتابي وغرف العناصر,rathena-master/npc/jobs/2-1/wizard.txt,تعديل سجل المهمات وملفي الملاحة؛ تحقق دون تعديل: itemInfo والمهارات وقاعدة الوحوش والمرجع الرسمي,مكتمل,496,المرحلة_182
183,الوظائف,الارتقاء إلى سيد المغتالين: خطاب الظلال، شرط نقاط المهارة، تغيير الوظيفة والترحيب في فالهالا,rathena-master/npc/jobs/2-1a/AssassinCross.txt,تحقق دون تعديل: navi_npc_krpri.lub وpcjobname.lub وpcjobnamegender.lub وmsgstringtable.txt وachievement_list_EN.lub والمرجع الرسمي,مكتمل,15,المرحلة_183
184,الوظائف,الارتقاء إلى كاهن متقدم: صلاة القداسة، الإيمان، نقاط المهارة، التهنئة والترحيب في فالهالا,rathena-master/npc/jobs/2-1a/HighPriest.txt,تحقق دون تعديل: Navi_Data_EN.lub وnavi_npc_krpri.lub وpcjobname.lub وpcjobnamegender.lub وmsgstringtable.txt وachievement_list_EN.lub والمرجع الرسمي,مكتمل,24,المرحلة_184
185,الوظائف,الارتقاء إلى ساحر متقدم: مسؤولية السحر، التدريب، حاجة ميدغارد، نقاط المهارة والترحيب في فالهالا,rathena-master/npc/jobs/2-1a/HighWizard.txt,تحقق دون تعديل: navi_npc_krpri.lub وpcjobname.lub وpcjobnamegender.lub وmsgstringtable.txt وachievement_list_EN.lub والمرجع الرسمي,مكتمل,27,المرحلة_185
186,الوظائف,الارتقاء إلى سيد الفرسان: مسؤولية الفرسان، التضحية، نقاط المهارة، القيادة والترحيب في فالهالا,rathena-master/npc/jobs/2-1a/LordKnight.txt,تحقق دون تعديل: navi_npc_krpri.lub وpcjobname.lub وpcjobnamegender.lub وmsgstringtable.txt وachievement_list_EN.lub وNavi_Data_EN.lub والمرجع الرسمي ودليل الارتقاء,مكتمل,27,المرحلة_186
187,الوظائف,الارتقاء إلى قناص: الطلقة القاتلة، دقة الرؤية، المسؤولية، نقاط المهارة والترحيب في فالهالا,rathena-master/npc/jobs/2-1a/Sniper.txt,تحقق دون تعديل: navi_npc_krpri.lub وpcjobname.lub وpcjobnamegender.lub وmsgstringtable.txt وachievement_list_EN.lub وNavi_Data_EN.lub والمرجع الرسمي ودليل الارتقاء,مكتمل,27,المرحلة_187
188,الوظائف,الارتقاء إلى سيد الحدادين: ذروة الحرفة والابتكار والعمل الدؤوب ونقاط المهارة وصياغة مستقبل ميدغارد,rathena-master/npc/jobs/2-1a/WhiteSmith.txt,تحقق دون تعديل: navi_npc_krpri.lub وpcjobname.lub وpcjobnamegender.lub وmsgstringtable.txt وachievement_list_EN.lub وNavi_Data_EN.lub والمرجع الرسمي ودليل الارتقاء,مكتمل,31,المرحلة_188
189,الوظائف,مهمة تغيير الوظيفة إلى سيد التايكون: موهيون وموغانغ واختبارات الشمس والقمر والنجوم,rathena-master/npc/jobs/2-1e/StarGladiator.txt,تعديل سجل المهمات؛ تحقق دون تعديل: itemInfo وقواميس الوظائف والملاحة والواجهة والمرجع الرسمي ودليل المهمة,مكتمل,685,المرحلة_189
190,الوظائف,مهمة تغيير الوظيفة إلى خيميائي: التسجيل والمقابلة والتجارب واختبار التركيز,rathena-master/npc/jobs/2-2/alchemist.txt,تعديل سجل المهمات؛ تحقق دون تعديل: itemInfo وقواميس الوظائف والمرجع الرسمي وأدلة المهمة,مكتمل,666,المرحلة_190
191,الوظائف,مهمة تغيير الوظيفة إلى شاعر: لالو والزهور وسنويسنو واختبار ترديد الأغاني,rathena-master/npc/jobs/2-2/bard.txt,تعديل سجل المهمات؛ تحقق دون تعديل: itemInfo وقواميس الوظائف والملاحة والواجهة والمرجع الرسمي ودليل المهمة,مكتمل,410,المرحلة_191
192,الوظائف,مهمة تغيير الوظيفة إلى فارس صليبي: جمع المواد والتحمل والمعرفة والتطهير والقتال,rathena-master/npc/jobs/2-2/crusader.txt,تعديل سجل المهمات وملف الملاحة؛ تحقق دون تعديل: itemInfo وقواميس الوظائف والمرجع الرسمي ودليل المهمة,مكتمل,289,المرحلة_192
193,الوظائف,مهمة تغيير الوظيفة إلى راقصة: التسجيل والمواد والاختبار الكتابي واختبار الرقص,rathena-master/npc/jobs/2-2/dancer.txt,تعديل سجل المهمات وملف الملاحة؛ تحقق دون تعديل: itemInfo والمهارات وقواميس الوظائف والمرجع الرسمي ودليل المهمة,مكتمل,279,المرحلة_193
194,الوظائف,مهمة تغيير الوظيفة إلى راهب: المواد والقسم والتحمل والمتاهة,rathena-master/npc/jobs/2-2/monk.txt,تعديل سجل المهمات؛ تحقق دون تعديل: itemInfo والملاحة وقواميس الوظائف والمرجع الرسمي ودليل المهمة,مكتمل,553,المرحلة_194
195,الوظائف,مهمة تغيير الوظيفة إلى مارق: الاختبار الكتابي والمواد وكلمات المرور والنفق,rathena-master/npc/jobs/2-2/rogue.txt,تعديل سجل المهمات؛ تحقق دون تعديل: itemInfo والملاحة وقواميس الوظائف وقاموس المهارات والمرجع الرسمي ودليل المهمة,مكتمل,296,المرحلة_195
196,الوظائف,مهمة تغيير الوظيفة إلى حكيم: التسجيل والاختباران والفروع العلمية والأطروحة,rathena-master/npc/jobs/2-2/sage.txt,تعديل سجل المهمات؛ تحقق دون تعديل: itemInfo والملاحة وقواميس الوظائف وقاموس المهارات والمرجع الرسمي ودليل المهمة,مكتمل,553,المرحلة_196
197,الوظائف,الارتقاء إلى بطل: المهارة والسرعة والقوة ونشر النور,rathena-master/npc/jobs/2-2a/Champion.txt,تحقق دون تعديل: navi_npc_krpri.lub وpcjobname.lub وpcjobnamegender.lub وmsgstringtable.txt وachievement_list_EN.lub والمرجع الرسمي ودليل الارتقاء,مكتمل,24,المرحلة_197
198,الوظائف,الارتقاء إلى منشد: الأغاني المبهجة ومواجهة الشر والأمل للحلفاء,rathena-master/npc/jobs/2-2a/Clown.txt,تحقق دون تعديل: navi_npc_krpri.lub وpcjobname.lub وpcjobnamegender.lub وmsgstringtable.txt وachievement_list_EN.lub والمرجع الرسمي ودليل الارتقاء,مكتمل,26,المرحلة_198
199,الوظائف,الارتقاء إلى كيميائي حيوي: أسرار الحياة والمسؤولية والعلم والبطولة,rathena-master/npc/jobs/2-2a/Creator.txt,تعديل قواميس الوظائف ورسائل العميل والإنجازات والملاحة وقائمة الفئات؛ تحقق من المرجع الرسمي ودليل الارتقاء,مكتمل,55,المرحلة_199
