//===== rAthena Script =======================================
//= Quest NPCs related to Ayothaya
//===== By ===================================================
//= Fredzilla, MasterOfMuppets
//===== Version ==============================================
//= 2.6
//===== Compatible With ======================================
//= rAthena Project
//===== Description ==========================================
//= [Official Conversion]
//= Ayothaya Ring Quest
//= Ayothaya Dungeon Quest
//= Tom Yum Goong Quest
//===== Comments =============================================
//= 1.0 First Release, made with infomation from RagnaInfo
//= 1.1 Added anti-novice protection [Lupus]
//= 1.3 Fixed exploit [Lupus]
//= 1.4 Updated, more close to the official. Thanks to birkiczd
//=     Also optimized it again, remove unused global variable [Lupus]
//= 1.5 Removed Duplicates [Silent]
//= 1.6 Moved quests from cities/ to here:
//=     Shrimp, Dungeon, Tom Yum Goong [Evera]
//= 1.7 Updated the Ayothaya Ring quest to the official one [MasterOfMuppets]
//= 1.8 Fixed experience gains to match upcoming rate adjustments. [SinSloth]
//= 1.9 Corrected NPC names to fall within proper restrictions. [L0ne_W0lf]
//= 2.0 Rescripted Tom Yum Goong and Dungeon quest to Aegis [L0ne_W0lf]
//=     10.3 standards.
//= 2.0a Corrected a Typo error ";;". [Samuray22]
//= 2.1 Added missing checkweights. [L0ne_W0lf]
				mes "إنه مصاب";
				mes "بجروح خطيرة جدا";
				mes "ليشفى بالجرعات العادية";
				mes "التي لدي. سأحتاج";
				mes "إلى جرعة أقوى...";
				next;
				mes "[" +strcharinfo(0)+ "]";
				mes "حسنا، ابق";
				mes "هنا لبعض الوقت.";
				mes "سأحضر لك بعض";
				mes "الدواء وأعالج";
				mes "جرحك.";
				next;
				mes "[أنون]";
				mes "لا، لست مضطرا...";
				mes "^666666*كح كح كح*^000000";
				mes "ا... انتظر، لا تدفعني";
				mes "إلى الداخل مجددا!";
				mes "وااااااه~!";
				next;
				set $@annonactive,0;
				disablenpc "Haggard Man";
				mes "[" +strcharinfo(0)+ "]";
				mes "حسنا، حان الوقت";
				mes "لألعب دور الطبيب!";
				mes "لا وقت لدي!";
				mes "مهمتي: إحضار جرعة";
				mes "فائقة القوة من أجل";
				mes "هذا المسكين~";
				emotion ET_BEST, playerattached();
				close;
			}
		case 2:
			mes "[أنون]";
			mes "أنون...؟";
			mes "من هذا؟";
			mes "لم أسمع به قط!";
			mes "لا أعرفه، حسنا!";
			mes "توقف عن إزعاج تدريبي!";
			next;
			mes "[" +strcharinfo(0)+ "]";
			mes "آه...";
			mes "همم، لا يبدو أنه يجب عليك الصراخ مع جرح كهذا. هل أنت متأكد أنك لست أنون؟";
			next;
			mes "[أنون]";
			mes "قلت لك!";
			mes "لم";
			mes "أسمع به قط!";
			mes "ا... اتركني وشأني!";
			next;
			mes "[أنون]";
			mes "يجب أن";
			mes "أختبئ من شودا.";
			mes "^666666*يبكي*^000000";
			close2;
			set $@annonactive,0;
			disablenpc "Haggard Man";
			end;
		}
	} else {
		mes "[أنون]";
		mes "هاه؟ من أنت؟";
		mes "هذا ليس مكانا آمنا للسياح! يجب أن تغادر فورا!";
		close2;
		set $@annonactive,0;
		disablenpc "Haggard Man";
		end;
	}

OnInit:
	set $@annonactive,0;
	disablenpc "Haggard Man";
	end;
}
		
ayothaya,253,99,3	script	دناي::Fisherman	843,{
	if (thai_find == 1) {
		mes "[دناي]";
		mes "هذا المكان معروف";
		mes "بكثرة الأسماك فيه. فالأسماك هنا تأكل أي شيء تجده،";
		mes "لذلك من السهل صيدها.";
		next;
		mes "[دناي]";
		mes "نؤجر صنارات الصيد. وفي كل محاولة ستحتاج إلى ^3355FF1 علف الوحوش^000000 طعما، مع دفع";
		mes "رسوم تأجير الصنارة وهي ^3355FF50 زيني^000000.";
		next;
		mes "[دناي]";
		mes "هل تريد";
		mes "أن تجرب؟";
		next;
		switch(select("نعم.:لا، شكرا.")) {
		case 1:
			if (countitem(528) && Zeny > 49) {
				mes "^3355FFترمي";
				mes "صنارتك";
				mes "في الماء.^000000";
				next;
				mes "...";
				next;
				mes "...";
				mes "......";
				next;
				mes "^3355FFعلقت سمكة فين بصنارتك!^000000";
				next;
				delitem 528,1; //Monster's_Feed
				set Zeny, Zeny-50;
				set .@randfish,rand(1,100);
				if (.@randfish > 0 && .@randfish < 40) {
					mes "^3355FFأثناء طهي سمكة الفين،";
					mes "تكتشف أنها ابتلعت حجرا.^000000";
					close2;
					getitem 7049,1; //Stone
					end;
				} else if (.@randfish > 39 && .@randfish < 60) {
					mes "^3355FFداخل سمكة الفين،";
					mes "تجد جرعة حمراء.^000000";
					close2;
					getitem 501,1; //Red_Potion
					end;
				} else if (.@randfish > 59 && .@randfish < 70) {
					mes "^3355FFداخل سمكة الفين،";
					mes "تجد جرعة صفراء.^000000";
					close2;
					getitem 503,1; //Yellow_Potion
					end;
				} else if (.@randfish > 69 && .@randfish < 80) {
					mes "^3355FFلا يوجد شيء في الداخل...";
					mes "لكن يمكنك الآن أكل السوشي!^000000";
					close2;
					getitem 551,1; //Shusi
					end;
				} else if (.@randfish > 79 && .@randfish < 90) {
					mes "^3355FFتجد";
					mes "خاتم الزهور";
					mes "داخل سمكة الفين.^000000";
					close2;
					getitem 2612,1; //Flower_Ring
					end;
				} else if (.@randfish == 90) {
					mes "^3355FFتجد";
					mes "خاتم الماس";
					mes "داخل سمكة الفين.^000000";
					close2;
					getitem 2613,1; //Diamond_Ring
					end;
				} else if (.@randfish > 90 && .@randfish < 101) {
					mes "^3355FFتجد خاتما";
					mes "منقوشا باسم";
					mes "على جانبه الداخلي.^000000";
					next;
					mes "^3355FFتأخذ";
					mes "خاتم الخطوبة.^000000";
					close2;
					set thai_find,2;
					changequest 12029,12030;
					getitem 7288,1; //Thai_Ring
					end;
				}
			} else {
				mes "[دناي]";
				mes "تذكر أنك تحتاج إلى ^3355FF1 علف الوحوش^000000 طعما، وإلى ^3355FF50 زيني^000000 لاستئجار صنارة.";
				close;
			}
		case 2:
			mes "[دناي]";
			mes "لا مشكلة،";
			mes "عد في أي وقت";
			mes "تريد. الصيد يريح";
			mes "العقل ويجعلك";
			mes "تشعر بالسلام...";
			close;
		}
		close;
	} else if (thai_find < 1) {
		mes "[دناي]";
		mes "الأسماك هنا تميل";
		mes "إلى أكل أي شيء تجده.";
		mes "وعندما تشق بطنها، يمكنك";
		mes "غالبا ما تجد أشياء مثيرة داخلها.";
		next;
		mes "[دناي]";
		mes "لذا عندما تسنح لك الفرصة،";
		mes "لم لا تجلس وتسترخي";
		mes "وتستمتع ببعض الصيد الهادئ؟";
		close;
	} else {
		mes "[دناي]";
		mes "مرحبا، مضى وقت طويل!";
		mes "يبدو أن الناس علموا أنك وجدت نوعا من الثروة من الصيد هنا. وبعد انتشار الخبر، صار لدي الكثير";
		mes "من الزبائن.";
		next;
		mes "[دناي]";
		mes "أفهم أنك تريد";
		mes "الصيد، لكن الآن";
		mes "لا توجد أي أماكن صيد";
		mes "متاحة لك.";
		next;
		mes "[دناي]";
		mes "دع";
		mes "الآخرين يحصلون";
		mes "على فرصتهم في العثور";
		mes "على ثرواتهم الخاصة.";
		close;
	}
}

ayo_dun01,255,62,0	script	AyoFootprint1	139,2,0,{
OnTouch_:
	if (thai_find == 4) {
		if (rand(1,3) < 2) {
			emotion ET_SURPRISE, playerattached();
			mes "^3355FFتجد آثار أقدام متجهة إلى ^5C3317الشمال^3355FF. يبدو أن شخصا ما كان في عجلة شديدة، تماما كما قال القروي!^000000";
			set thai_find,5;
			changequest 12032,12033;
			close;
		}
	}
	end;
}

ayo_dun01,74,142,0	script	AyoFootprint2	139,2,0,{
OnTouch_:
	if (thai_find == 5) {
		if (rand(1,3) < 2) {
			emotion ET_THINK, playerattached();
			mes "^3355FFتجد مجموعة أخرى من آثار الأقدام. يبدو أن شخصا ما كان يهرب من شيء. هذه الآثار تتجه إلى ^5C3317الشرق^3355FF. من الأفضل أن تتبعها لترى ماذا";
			mes "يمكنك أن تجد.^000000";
			set thai_find,6;
			close;
		}
	}
	end;
}

ayo_dun01,244,256,2	script	AyoFootprint3	139,2,0,{
OnTouch_:
	if (thai_find == 6) {
		if (rand(1,3) < 2) {
			emotion ET_STARE_ABOUT, playerattached();
			mes "^3355FFتنتهي آثار الأقدام حول هذه المنطقة. لا بد أن من كان يركض";
			mes "قد أنهكه التعب وتعثر بشيء ما. ربما صاحب آثار الأقدام قريب...^000000";
			set thai_find,7;
			close;
		}
	}
	end;
}

ayo_dun01,17,257,0	script	AyoFootprint4	139,2,0,{
OnTouch_:
	if (thai_find == 7) {
		if (rand(1,3) < 2) {
			emotion ET_AHA, playerattached();
			mes "^3355FFبينما تتبع آثار الأقدام،";
			mes "تصل إلى '^5C3317مدخل الضريح^3355FF.' أيا كان هذا الشخص، فقد ركض إلى المستوى الثاني.^000000";
			set thai_find,8;
			close;
		}
	}
	end;
}

ayo_dun02,145,120,0	script	AyoFootprint5	139,2,0,{
OnTouch_:
	if (thai_find == 8) {
		if (rand(1,3) < 2) {
			mes "^3355FFتجد آثار الأقدام نفسها";
			mes "في هذا المكان. يبدو خطيرا جدا،";
			mes "وتتساءل لماذا قد يأتي";
			mes "أي شخص إلى هنا. آثار";
			mes "الأقدام تستمر نحو";
			mes "^5C3317الشمال^3355FF.^000000";
			set thai_find,9;
			close;
		}
	}
	end;
}

ayo_dun02,135,168,0	script	AyoFootprint6	139,0,2,{
OnTouch_:
	if (thai_find == 9) {
		if (rand(1,3) == 1) {
			emotion ET_SURPRISE, playerattached();
			mes "^3355FFيستمر أثر الأقدام";
			mes "هنا، ويبدو";
			mes "أحدث عهدا.^000000";
			next;
			mes "^3355FFهمم...؟";
			mes "هناك شيء هنا...^000000";
			next;
			switch(select("تجاهل.:^5C3317تحقق.^000000")) {
			case 1:
				mes "["+strcharinfo(0)+"]";
				mes "حسنا، غالبا لا شيء مهم. لكن إلى أي طريق يجب أن أذهب الآن؟";
				set thai_find,10;
				close;
			case 2:
				set .@randayo,rand(1,10);
				if (.@randayo < 2) {
					mes "["+strcharinfo(0)+"]";
					mes "يا للعجب، هذه مجموعة من الجرعات البيضاء. لا بد أن صاحبها أسقطها بالخطأ. همم، قد أستفيد منها لاحقا...";
					next;
					mes "["+strcharinfo(0)+"]";
					mes "انتظر...";
					mes "هناك المزيد من";
					mes "آثار الأقدام متجهة";
					mes "نحو ^5C3317الشرق^000000.";
					mes "من الأفضل أن";
					mes "أتحقق من هذا.";
					set thai_find,10;
					getitem 504,10; //White_Potion
					close;
				} else if (.@randayo > 2 && .@randayo < 5) {
					mes "["+strcharinfo(0)+"]";
					mes "يا للعجب، هذه مجموعة من الجرعات الصفراء. لا بد أن صاحبها أسقطها بالخطأ. همم، قد أستفيد منها لاحقا...";
					next;
					mes "["+strcharinfo(0)+"]";
					mes "انتظر...";
					mes "هناك المزيد من";
					mes "آثار الأقدام متجهة";
					mes "نحو ^5C3317الشرق^000000.";
					mes "من الأفضل أن";
					mes "أتحقق من هذا.";
					set thai_find,10;
					getitem 503,10; //Yellow potion
					close;
				} else {
					mes "[جرذ]";
					mes "^FF0000كويك!";
					mes "^FF0000كويك كويك!^000000";
					emotion ET_HUK, playerattached();
					next;
					mes "["+strcharinfo(0)+"]";
					mes "^8C1717وااه^000000!";
					mes "ما كان ذلك؟!";
					next;
					mes "^3355FFكان مجرد جرذ.";
					mes "من المضحك أن تخاف من جرذ صغير، أليس كذلك؟^000000";
					next;
					mes "^3355FFتجد أثرا آخر";
					mes "لأقدام يتجه";
					mes "نحو ^5C3317الشرق^3355FF.^000000";
					set thai_find,10;
					close;
				}
			}
			close;
		}
	}
	end;
}

ayo_dun02,77,213,0	script	AyoFootprint7	139,1,1,{
OnTouch_:
	if (thai_find == 10) {
		if (rand(1,3) < 2) {
			emotion ET_SURPRISE, playerattached();
			mes "^3355FFأين هو...؟";
			mes "يبدو أنه دخل";
			mes "عميقا في الزنزانة.";
			mes "مجرد البحث عن";
			mes "هذا الرجل مرهق...^000000";
			set thai_find,11;
			close;
		}
	}
	end;
}

ayo_dun02,86,254,0	script	AyoFootprint8	139,1,1,{
OnTouch_:
	if (thai_find == 11) {
		if (rand(1,3) < 2) {
			emotion ET_SURPRISE, playerattached();
			mes "^3355FFتجد آثار دم. ربما أصيب من كان يركض في هذا الاتجاه. أثر الدم يقود إلى ^5C3317الشمال^3355FF.^000000";
			changequest 12032,12033;
			set thai_find,12;
			close;
		}
	}
	end;
}

ayothaya,193,171,3	script	تام#02::Old Man#02	842,{
	if (thai_find == 3) {
		mes "[تام]";
		mes "غريب...";
		mes "لماذا كان ذلك الرجل";
		mes "يركض إلى";
		mes "الضريح بهذه الطريقة؟";
		mes "هذا يزعجني";
		mes "حقا...";
		next;
		mes "[تام]";
		emotion ET_SURPRISE;
		mes "أوه، ألست";
		mes "من ميدغارد؟";
		mes "مرحبا بك~";
		next;
		mes "[تام]";
		mes "آه...";
		mes "هل سمعتني أحدث نفسي؟ حسنا، لم أر من كان، لكن رجلا ما ركض إلى الغابة التي تقود إلى الضريح. بدا خائفا جدا من شيء ما.";
		next;
		mes "[تام]";
		mes "لقد ظهر من العدم، لذلك أخافني كثيرا. هل تظن أنه قد يكون مجرما؟";
		next;
		mes "[تام]";
		emotion ET_AHA;
		mes "آه! أظن أنه من شدة خوفه كان يصرخ بشيء عن نوع من '^FF0000شودا^000000،' أو شيء كهذا. لكن ماذا يمكن أن يعني ذلك؟";
		next;
		mes "[تام]";
		mes "حسنا، لا تقلق. ليس كل أهل قريتنا هكذا. على أي حال، آمل أن تستمتع برحلاتك في أيوثايا.";
		set thai_find,4;
		changequest 12031,12032;
		close;
	} else {
		set .@randayo,rand(1,7);
		if (.@randayo < 5) {
			mes "[تام]";
			mes "أوه مرحبا~";
			mes "يبدو من ملابسك أنك قادم من ميدغارد.";
			next;
			mes "[تام]";
			mes "في الآونة الأخيرة، يبدو أن";
			mes "قريتنا بدأت تستقبل";
			mes "المزيد من السياح، وأرى أن";
			mes "قريتنا تتأثر";
			mes "نحو الأفضل.";
			next;
			mes "[تام]";
			mes "آه...";
			mes "بما أنك هنا،";
			mes "لم لا تتذوق بعض";
			mes "أطباق أيوثايا الأصيلة";
			mes "بنفسك؟";
			next;
			mes "[تام]";
			mes "نحن مشهورون";
			mes "بمأكولاتنا البحرية الحارة والحلوة،";
			mes "وهناك بعض المطاعم";
			mes "الجيدة هنا.";
			next;
			mes "[تام]";
			mes "وأنا واثق أنك ستحبها. زر أيوثايا كلما سنحت لك الفرصة~";
			close;
		} else if (.@randayo > 4 && .@randayo < 7) {
			mes "[تام]";
			mes "آه~";
			mes "أشتهي طعام السيدة مالي الحارة، وخصوصا طبقها 'توم يوم غونغ.'";
			next;
			mes "[تام]";
			mes "أظن أنه";
			mes "ألذ طبق";
			mes "في العالم كله!";
			close;
		} else {
			mes "[تام]";
			mes "أوه مرحبا~";
			mes "يبدو من ملابسك أنك قادم من ميدغارد.";
			next;
			mes "[تام]";
			mes "أتمنى أن تستمتع بإقامتك، وأن تزور أيوثايا كلما سنحت لك الفرصة~";
			close;
		}
	}
}

// مهمة زنزانة أيوثايا :: ayo_tiger
//============================================================
ayothaya,83,132,0	script	دوسيت#thai::Dusit#thai	843,{
	if (ayodunquest == 0) {
		mes "[دوسيت]";
		mes "أوه...!";
		mes "لا بد أنك مسافر.";
		mes "لدي حكاية قد ترغب في سماعها إن كنت مهتما بالاستماع.";
		next;
		if (select("ما هي؟:أنا أعرف القصة.") == 1) {
			mes "[دوسيت]";
			mes "لأيوثايا تاريخ عريق. تبدو اليوم هادئة ومسالمة، لكنها عاشت قديما في رعب من مخلوق فظيع.";
			next;
			mes "[دوسيت]";
			mes "نعرف هذا الوحش باسم";
			mes "^660000نمر سا-مينغ^000000، وكان";
			mes "يسكن عميقا في الأطلال القديمة.";
			next;
			mes "[دوسيت]";
			mes "نمر سا-مينغ مولع";
			mes "على طعم لحم البشر. ومن المعروف أنه يتحول إلى شكل شخص أكله حتى يستدرج عائلته وأصدقاءه.";
			next;
			mes "[دوسيت]";
			mes "ما زال أهل القرية يخشون أن يتحول ذلك المخلوق إلى شخص يعرفونه، ثم يتسلل إلى بيوتهم ليلتهمهم.";
			next;
			mes "[دوسيت]";
			mes "لكن ثمة طريقة لتمييز نمر سا-مينغ عن البشر. فهو نمر، ولا يجيد بعض الأمور";
			mes "التي يتعلم البشر فعلها،";
			mes "مثل إشعال عود ثقاب.";
			next;
			mes "[دوسيت]";
			mes "لذا، إذا رأيت بالصدفة";
			mes "صديقا يتصرف بغرابة فجأة،";
			mes "فاطلب منه أن يشعل";
			mes "عود ثقاب. تأكد أنه ليس";
			mes "نمر سا-مينغ.";
			next;
			mes "[دوسيت]";
			mes "لكن...";
			mes "لا أدري إن كانت هذه الحيلة تنجح حقا. والأفضل أن تهرب للنجاة بحياتك إن ساورك أدنى شك في أن شخصا ما هو";
			mes "نمر سا-مينغ.";
			next;
			mes "[دوسيت]";
			mes "هل تؤمن";
			mes "بوجود";
			mes "نمور تأكل البشر؟";
			next;
			if (select("حسنا، ليس حقا.:نعم، أؤمن بذلك وأظن أنها مخيفة!") == 1) {
				mes "[دوسيت]";
				mes "اممم...";
				mes "حسنا. أخبرني جدي الراحل عن نمر سا-مينغ عندما";
				mes "كنت طفلا صغيرا. بالطبع،";
				mes "لم أره.";
				next;
				mes "[دوسيت]";
				mes "أقرب ما رأيته إلى نمر سا-مينغ كان قطا ذهبيا يضع جرسا، ولا أظن أنه كان يأكل البشر.";
				close;
			}
			mes "[دوسيت]";
			mes "اهرب بحياتك إذا واجهت نمر سا-مينغ يوما!";
			mes "سيأكلك حيا!";
			next;
			mes "[دوسيت]";
			mes "إذا كنت مهتما بمعرفة";
			mes "المزيد عن القصة، يمكنني أن أدلك على شخص";
			mes "يعرف ذلك المخلوق أكثر من";
			mes "أي شخص آخر.";
			next;
			mes "[دوسيت]";
			mes "لم لا تتحدث إلى بونثوم؟ إنه شخص غريب جدا، لكن هناك شيئا ما فيه...";
			next;
			mes "[دوسيت]";
			mes "...";
			mes "......";
			next;
			mes "[دوسيت]";
			mes "ستفهم قصدي حين تقابله. آمل أن يساعدك في معرفة المزيد عن ذلك المخلوق الشرير.";
			set ayodunquest,1;
			setquest 12035;
			close;
		}
		mes "[دوسيت]";
		mes "هل تعرفها الآن؟";
		mes "إذن كن حذرا!";
		mes "سيأكلك حيا!";
		close;
	} else if (ayodunquest > 0) {
		mes "[دوسيت]";
		mes "كيف حالك؟";
		mes "إذا كنت مهتما";
		mes "بنمر سا-مينغ،";
		mes "فاذهب وتحدث إلى بونثوم.";
		next;
		mes "[دوسيت]";
		mes "لكن احذر!";
		mes "قد يكون نمر سا-مينغ";
		mes "أقرب إليك مما تتوقع!";
		close;
	}
}

ayo_in01,181,193,4	script	بونثوم#thai::Shaman#thai	840,{

	// For both parts of the quest:
	// - Pre-Renewal requires Needle Packet and Spool.
	// - Renewal requires Fabric and Nine Tails.
	if (checkre(0))
		setarray .@items[0],7213,7217; //Needle_Pouch, Spool
	else
		setarray .@items[0],1059,1022; //Transparent_Cloth, Fox_Tail

	if (ayodunquest == 1) {
		mes "[بونثوم]";
		mes "أنت...!";
		mes "أليس هذا....!";
		mes "أوووووووووه!";
		next;
		mes "[بونثوم]";
		mes "أوه...؟";
		next;
		mes "[بونثوم]";
		mes "...";
		next;
		mes "[بونثوم]";
		mes "...";
		mes "......";
		next;
		mes "[بونثوم]";
		mes "...";
		mes "......";
		mes ".........";
		next;
		mes "[بونثوم]";
		mes "لا تهتم.";
		mes "هاه! لقد فقدت";
		mes "تسلسل أفكاري.";
		next;
		mes "[بونثوم]";
		mes "هل جئت تطلب مساعدتي؟ أرى الخوف في عينيك. دعني أنظر في روحك لأعرف ما الذي يرعبك... هممم...";
		next;
		mes "[بونثوم]";
		mes "...";
		next;
		mes "[بونثوم]";
		mes "...";
		mes "......";
		next;
		mes "[بونثوم]";
		mes "...";
		mes "......";
		mes ".........";
		next;
		mes "[بونثوم]";
		mes "ماذا...!";
		mes "أرى أنك تخشى نمر سا-مينغ! لم أسمع أي أخبار عن ذلك الوحش منذ زمن طويل...";
		next;
		mes "[بونثوم]";
		mes "منذ زمن بعيد،";
		mes "كان نمر سا-مينغ";
		mes "يتجول فعلا في القرية";
		mes "ويأكل الأبرياء.";
		next;
		mes "[بونثوم]";
		mes "لكن رعبه";
		mes "انتهى عندما";
		mes "تم أسره أخيرا. كنت أحد الذين شاركوا في أسر نمر سا-مينغ.";
		next;
		mes "[بونثوم]";
		mes "أصررت على قتله، لكن الآخرين كانوا خائفين جدا من فعل ذلك. بدلا من ذلك،";
		mes "حبس نمر سا-مينغ في كهف داخل الأطلال القديمة.";
		next;
		mes "[بونثوم]";
		mes "كان ذلك قبل عشرة أعوام على الأقل. ربما مات الآن، لكن لا أحد";
		mes "يعرف مدى قوة النمر الحقيقية.";
		mes "قد يكون ما زال حيا.";
		next;
		mes "[بونثوم]";
		mes "مع ذلك، لا أظن أننا بحاجة إلى القلق منه. إنه محبوس، وسيبقى هناك.";
		next;
		switch(select("أريد استكشاف الأطلال القديمة.:محبوس! جيد! أنا لست خائفا!")) {
		case 1:
			mes "[بونثوم]";
			mes "أنت...";
			mes "أنت غريب.";
			mes "تريد استكشاف الأطلال القديمة. هل يتجاهل كل المغامرين سلامتهم هكذا؟";
			next;
			mes "[بونثوم]";
			mes "هذا قرارك، لكن الطريق إلى قلب المبنى شديد الخطورة، وعادة ما أمنع الناس من دخوله.";
			next;
			mes "[بونثوم]";
			mes "لكن إذا أردت الدخول،";
			mes "يمكنني أن أقدم لك بعض النصائح المفيدة.";
			mes "هل تريد أن تستمع؟";
			next;
			if (select("إذا كان خطيرا إلى هذا الحد، فمن الأفضل ألا أحاول.:بالتأكيد!") == 1) {
				mes "[بونثوم]";
				mes "لقد اتخذت قرارا جيدا.";
				mes "من الأفضل أن تكون حذرا إذا";
				mes "أردت البقاء حيا.";
				close;
			}
			mes "[بونثوم]";
			mes "اممم، حسنا.";
			mes "بما أنك";
			mes "مهتم إلى هذا الحد...";
			next;
			mes "[بونثوم]";
			mes "إن أردت دخول المبنى القديم، فلا بد من حماية تقيك الأرواح الشريرة وحقدها.";
			next;
			if (Class == Job_Priest || Class == Job_Acolyte || Class == Job_Crusader) {
				mes "[بونثوم]";
				mes "حتى لو كنت تستطيع";
				mes "استخدام قوة";
				mes "القداسة، فستظل بحاجة إلى الحماية الروحية الخاصة بأرضنا.";
			} else {
				mes "[بونثوم]";
				mes "هناك الكثير من الأشباح";
				mes "والشياطين داخل الكهف، وسيهاجمون الأشخاص الذين لا يملكون قوة مقدسة... مثلك.";
			}
			next;
			mes "[بونثوم]";
			mes "يمكنني أن أصنع لك تميمة";
			mes "مشبعة بهذه القوة المقدسة. ولصنعها أحتاج إلى بعض المواد.";
			next;
			mes "[بونثوم]";
			mes "^3366991 "+getitemname(.@items[0])+"^000000،";
			mes "^3366991 "+getitemname(.@items[1])+"^000000،";
			mes "^3366991 قشرة صلبة^000000 و";
			mes "^3366991 ماء مقدس^000000...";
			mes "هذا كل ما أحتاجه.";
			next;
			mes "[بونثوم]";
			mes "عد إلي";
			mes "عندما تحضر كل";
			mes "المواد.";
			set ayodunquest,2;
			changequest 12035,12036;
			close;
		}
		mes "[بونثوم]";
		mes "هممم...";
		mes "لست خائفا";
		mes "منه، أليس كذلك؟";
		next;
		mes "[بونثوم]";
		mes "............";
		mes "............";
		close;
	} else if (ayodunquest == 2) {
		if (countitem(.@items[0]) > 0 && countitem(.@items[1]) > 0 && countitem(7190) > 0 && countitem(523) > 0) {
			mes "[بونثوم]";
			mes "ممتاز!";
			mes "لقد أحضرت الآن";
			mes "كل ما أحتاجه. دعني أصنع";
			mes "الشيء لك كما وعدت...";
			next;
			mes "[بونثوم]";
			mes "أووووممممم...";
			next;
			mes "[بونثوم]";
			mes "هممممم...";
			mes "همممممممم.";
			next;
			mes "[بونثوم]";
			mes "بففف بففف...";
			next;
			mes "[بونثوم]";
			mes "تفضل.";
			mes "خذ هذه الخيوط المقدسة.";
			mes "بها ستتمكن من دخول الأطلال بقدر أكبر من الأمان.";
			delitem .@items[0],1;
			delitem .@items[1],1;
			delitem 7190,1; //Solid_Peeling
			delitem 523,1; //Holy_Water
			set ayodunquest,3;
			changequest 12036,12037;
			getitem 7285,1; //Thread_Skein
			next;
			mes "[بونثوم]";
			mes "حتى لو فقدت هذه الخيوط، فلا تقلق. أحضر إلي المواد،";
			mes "وسأصنع لك غيرها.";
			next;
			mes "[بونثوم]";
			mes "يتكون المبنى القديم";
			mes "من مستويين. عد إلي قبل دخول المستوى الثاني تحت الأرض، لأخبرك بكيفية الوصول إليه.";
			close;
		}
		mes "[بونثوم]";
		mes "هل نسيت المواد";
		mes "اللازمة لصنع التميمة المقدسة؟ أنصت";
		mes "جيدا هذه المرة.";
		next;
		mes "[بونثوم]";
		mes "^3366991 "+getitemname(.@items[0])+"^000000،";
		mes "^3366991 "+getitemname(.@items[1])+"^000000،";
		mes "^3366991 قشرة صلبة^000000 و";
		mes "^3366991 ماء مقدس^000000.";
		next;
		mes "[بونثوم]";
		mes "أراك لاحقا.";
		close;
	} else if (ayodunquest == 3) {
		if (countitem(.@items[0]) > 0 && countitem(.@items[1]) > 0 && countitem(7190) > 0 && countitem(523) > 0) {
			mes "[بونثوم]";
			mes "ممتاز! لقد أحضرت الآن كل ما أحتاجه، دعني أصنع الشيء لك كما وعدتك...";
			next;
			mes "[بونثوم]";
			mes "أووووممممم...";
			next;
			mes "[بونثوم]";
			mes "هممممم...";
			mes "همممممممم.";
			next;
			mes "[بونثوم]";
			mes "بففف بففف...";
			next;
			mes "[بونثوم]";
			mes "تفضل.";
			mes "خذ هذه الخيوط المقدسة.";
			mes "بها ستتمكن من دخول الأطلال بقدر أكبر من الأمان.";
			delitem .@items[0],1;
			delitem .@items[1],1;
			delitem 7190,1; //Solid_Peeling
			delitem 523,1; //Holy_Water
			getitem 7285,1; //Thread_Skein
			next;
			mes "[بونثوم]";
			mes "إن فقدت هذه الخيوط فلا تقلق؛ أحضر المواد وسأصنع لك غيرها.";
			close;
		}
		mes "[بونثوم]";
		mes "إن فقدت الخيوط المقدسة، فاجمع المواد التالية وسأصنع لك غيرها.";
		next;
		mes "[بونثوم]";
		mes "^3366991 "+getitemname(.@items[0])+"^000000،";
		mes "^3366991 "+getitemname(.@items[1])+"^000000،";
		mes "^3366991 قشرة صلبة^000000 و";
		mes "^3366991 ماء مقدس^000000.";
		next;
		mes "[بونثوم]";
		mes "أراك لاحقا.";
		close;
	} else if (ayodunquest > 3 && ayodunquest < 9) {
		mes "[بونثوم]";
		mes "لقد بدأت أخيرا البحث عن النمر. آمل أن تكون في مأمن من الأذى.";
		next;
		mes "[بونثوم]";
		mes "لا تتردد في طلب";
		mes "المساعدة مني في أي وقت.";
		close;
	} else if (ayodunquest == 9) {
		mes "["+strcharinfo(0)+"]";
		mes "لقد نسخت هذه";
		mes "الرسالة أثناء استكشاف";
		mes "الزنزانة. هل يمكنك";
		mes "إلقاء نظرة عليها؟";
		next;
		mes "[لوح حجري]";
		mes "^333333لا تدخل";
		mes "المستوى الثاني تحت الأرض";
		mes "...هناك خطر... سوف...";
		mes "...تواجه... النمر...^000000";
		next;
		mes "[لوح حجري]";
		mes "^333333يجب أن تقتل... لكي تفعل... يجب... كيفية الذهاب... إلى المستوى الثاني تحت الأرض...";
		mes "تحتاج إلى المزيد... من القوة المقدسة... لكي... وإلا، فهذا مستحيل...^000000";
		next;
		mes "[بونثوم]";
		mes "كتب هذا أحد رفاقي الذين دخلوا الأطلال،";
		mes "إذ ندم على ترك النمر حيا، خشية أن يعود.";
		next;
		mes "[بونثوم]";
		mes "إذا كنت قادرا على العثور على هذه الملاحظة، فلا بد أن لديك عزيمة قوية للمغامرة داخل الأطلال.";
		next;
		mes "[بونثوم]";
